Family_01,Romance_02,Drama_03,Horror_04,Historical_05,Crime_06,Erotic_07,Independent_08,Biographical_09,Musical_10,SciFi_11,Action_12,Comedy_13,Adventure_14,Western_15,Documentary_16,War_17,Thriller_18,Classics_19,Animation_20,Mystery_21,Romance_01,Horror_02,Erotica_03,Art_04,Academic_05,Mystery_06,Crime_07,History_08,Philosophy_09,Poetry_10,Entertainment_11,Comics_12,Architecture_13,Computers_14,Sports_15,News_16,Reference_17,Business_18,Cooking_19,Literature_20,Thriller_21,Adventure_22,Nature_23,Health_24,SciFi_25,Fantasy_26,Medical_27,IPIP_01_E,IPIP_02_A,IPIP_03_C,IPIP_04_N,IPIP_05_O,IPIP_06R_E,IPIP_07R_A,IPIP_08R_C,IPIP_09R_N,IPIP_10R_O,IPIP_11_E,IPIP_12_A,IPIP_13_C,IPIP_14_N,IPIP_15R_O,IPIP_16R_E,IPIP_17R_A,IPIP_18R_C,IPIP_19R_N,IPIP_20R_O,Gender,Age,IPIP_O,IPIP_C,IPIP_E,IPIP_N,IPIP_A,IPIP_O_ordinal,IPIP_C_ordinal,IPIP_E_ordinal,IPIP_N_ordinal,IPIP_A_ordinal,Max,Highest_Scoring_Trait
4,3,5,5,4,5,3,4,5,4,5,5,5,5,4,5,5,5,4,5,5,3,5,3,3,2,5,4,4,2,2,5,4,3,3,2,2,3,2,4,2,4,4,5,3,5,4,4,4,4,4,1,1,2,2,5,5,2,1,4,4,2,2,1,5,5,2,5,1,22,10,18,8,10,15,Low,Very High,Low,Low,High,18,C
4,3,2,5,5,4,4,5,4,2,5,1,3,4,3,5,3,3,5,5,3,1,5,5,5,2,2,4,5,5,5,3,5,3,1,1,4,4,1,4,5,2,4,5,2,5,2,4,2,5,4,3,5,1,5,4,4,4,5,5,4,3,2,2,5,4,4,5,1,21,16,16,10,14,20,High,High,Low,High,Extremely High,20,A
2,1,2,5,4,5,4,5,5,1,5,3,3,3,2,4,2,4,5,3,5,1,5,5,5,4,5,5,4,4,4,3,2,2,2,1,2,4,3,4,5,4,4,5,5,5,4,3,2,4,4,2,4,2,5,5,2,5,2,4,5,2,2,2,5,5,2,4,1,21,15,19,8,8,18,High,Extremely High,Low,Low,Very High,19,C
4,4,4,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,3,4,3,4,4,3,4,3,4,4,3,4,4,4,4,4,5,4,4,4,3,4,4,3,3,4,5,4,3,3,4,4,5,3,2,3,4,4,4,3,1,21,11,17,14,13,17,Neither high nor low,Very High,High,Neither high nor low,Very High,17,C
3,3,3,4,5,5,4,2,5,1,1,5,4,5,4,5,5,5,4,4,5,2,5,4,5,4,5,5,5,2,4,3,4,1,3,4,5,4,3,2,4,4,4,3,4,3,5,4,4,4,4,2,3,5,5,5,2,4,4,4,4,2,2,2,5,5,2,4,1,22,13,18,15,8,18,Neither high nor low,Very High,High,Low,Very High,18,C
4,5,4,5,1,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,5,5,1,5,4,4,2,4,4,4,4,2,2,0,27,11,17,18,13,14,Neither high nor low,Very High,Very High,Neither high nor low,High,18,E
4,4,4,1,2,1,1,3,3,4,4,4,5,4,3,3,2,1,5,5,4,5,1,2,4,3,3,1,2,5,5,5,3,1,2,2,3,3,2,3,5,2,2,3,3,3,3,3,4,4,4,2,3,4,4,4,4,3,4,4,4,2,3,1,5,4,2,4,1,19,13,16,13,10,17,Neither high nor low,High,Neither high nor low,Low,Very High,17,A
4,5,4,3,4,4,1,3,4,4,4,4,4,4,3,4,4,5,3,5,5,5,5,2,4,4,4,5,4,3,4,5,4,3,3,3,3,4,1,4,4,4,4,4,4,5,5,3,3,5,3,4,5,2,5,3,3,3,3,5,4,3,4,1,5,4,3,5,1,21,17,14,9,13,20,Very High,High,Low,Neither high nor low,Extremely High,20,A
4,4,4,1,5,2,3,2,5,2,2,3,5,3,3,4,3,3,3,5,3,2,1,3,3,3,2,2,4,3,4,3,3,2,2,2,5,4,1,3,4,3,3,2,1,1,1,1,4,4,4,2,3,5,5,3,2,4,4,4,3,3,3,3,5,5,4,3,1,21,13,15,16,11,18,Neither high nor low,High,High,Neither high nor low,Very High,18,A
4,4,5,1,1,4,3,2,2,2,4,4,2,4,1,4,2,3,2,4,4,5,4,4,3,2,4,4,2,2,2,4,4,2,2,2,4,4,2,4,2,4,4,3,2,4,5,2,5,5,4,4,4,3,4,4,4,3,4,5,4,4,2,1,4,4,4,3,1,21,12,16,13,16,18,Neither high nor low,High,Neither high nor low,High,Very High,18,A
1,3,3,4,1,4,2,2,2,4,4,4,5,5,1,1,2,2,3,5,5,4,3,3,2,2,4,4,3,2,1,3,2,2,2,2,4,4,1,1,4,3,4,2,3,4,3,2,2,2,2,3,4,2,5,2,1,5,3,3,2,1,4,3,4,2,2,5,1,19,18,8,10,7,14,Very High,Low,Low,Very Low,High,18,O
4,5,4,1,4,1,4,5,1,1,5,4,4,4,1,4,2,3,3,5,4,4,3,4,4,4,4,3,3,4,4,5,5,2,2,4,1,1,4,5,4,4,4,4,5,5,4,4,4,4,4,4,3,2,4,5,5,4,4,4,5,4,3,3,4,5,4,3,1,21,13,19,13,17,16,Neither high nor low,Extremely High,Neither high nor low,Very High,High,19,C
2,5,4,1,2,4,3,2,3,4,2,2,5,3,2,4,2,2,1,4,4,5,2,2,5,3,3,3,2,1,4,3,2,1,0,3,3,4,3,3,3,2,2,2,3,2,1,1,2,2,1,4,3,5,5,3,4,2,2,5,3,5,3,2,4,4,5,3,1,19,11,11,11,18,16,Neither high nor low,Neither high nor low,Neither high nor low,Very High,High,18,N
4,5,5,2,4,3,3,4,4,5,3,4,5,5,1,3,2,4,4,5,4,5,4,4,3,4,5,4,4,4,5,5,5,2,1,1,4,3,3,5,5,5,5,3,4,4,4,3,5,4,4,2,3,4,4,5,2,5,5,5,5,4,2,3,4,5,4,4,1,22,14,19,17,12,17,High,Extremely High,Very High,Neither high nor low,Very High,19,C
4,4,4,5,4,4,5,2,2,2,3,4,4,4,4,3,3,4,4,4,4,4,4,2,2,1,4,4,4,4,2,4,2,1,1,1,1,1,1,2,2,4,4,3,4,4,4,4,3,4,2,4,4,3,2,2,4,3,3,5,3,4,3,4,5,3,4,3,1,21,13,10,13,16,16,Neither high nor low,Low,Neither high nor low,High,High,16,N
4,4,5,1,4,3,4,3,4,2,5,4,4,4,2,3,2,4,4,3,5,4,3,4,3,4,4,4,4,4,4,4,4,2,2,2,4,4,2,2,4,4,4,2,2,5,4,2,2,3,2,4,4,2,3,2,4,5,2,4,4,4,4,2,3,4,4,4,1,33,17,12,8,16,13,Very High,Neither high nor low,Low,High,Neither high nor low,17,O
4,5,5,5,2,4,3,5,1,5,3,4,5,4,2,4,3,2,2,5,4,5,5,5,4,3,4,3,2,1,5,5,5,2,1,1,1,2,1,3,4,4,4,2,4,3,3,3,4,3,3,5,5,1,4,2,4,4,3,3,5,5,4,2,5,2,5,5,1,21,18,12,10,19,15,Very High,Neither high nor low,Low,Extremely High,High,19,N
4,4,4,1,1,4,3,2,2,2,4,4,2,4,1,4,2,3,2,4,4,4,3,4,3,2,4,4,2,1,2,3,4,1,2,2,4,4,1,4,1,5,5,5,3,4,5,4,5,5,4,5,4,3,5,5,4,3,5,5,4,4,4,2,5,5,4,3,1,20,14,18,15,17,20,High,Very High,High,Very High,Extremely High,20,A
4,4,4,1,3,2,2,2,2,4,3,4,5,4,3,4,3,4,3,5,4,4,4,3,3,3,4,4,4,3,3,5,5,1,2,1,3,4,2,5,5,4,4,4,4,3,4,3,4,5,4,4,4,3,4,4,3,5,4,4,4,3,4,2,4,4,3,4,1,21,17,16,13,13,17,Very High,High,Neither high nor low,Neither high nor low,Very High,17,O
4,4,5,4,1,5,3,3,3,3,5,5,4,5,3,4,5,4,4,4,5,4,3,3,4,5,5,3,3,3,4,3,2,2,2,2,2,2,2,2,2,5,5,2,4,4,5,2,4,4,2,5,3,4,4,2,3,4,3,5,4,3,2,2,4,3,3,4,1,22,13,11,13,14,17,Neither high nor low,Neither high nor low,Neither high nor low,High,Very High,17,A
4,5,4,4,3,4,3,3,4,4,3,4,4,4,2,4,1,3,4,4,4,5,4,3,4,4,4,4,3,3,5,3,3,2,1,1,1,1,1,3,5,4,3,3,4,3,3,2,3,5,2,5,5,3,5,3,4,5,3,5,3,5,4,2,5,2,5,5,1,22,19,10,11,19,20,Extremely High,Low,Neither high nor low,Extremely High,Extremely High,20,A
5,4,3,1,4,1,1,1,1,1,2,4,5,5,3,4,1,3,3,5,5,5,2,1,3,4,5,5,4,4,4,4,3,3,3,4,4,5,5,5,5,5,4,5,5,3,3,3,5,4,2,5,5,5,2,2,4,4,3,3,5,3,3,4,4,3,3,4,1,21,16,12,17,15,13,High,Neither high nor low,Very High,High,Neither high nor low,17,E
4,5,5,3,4,5,4,3,3,3,4,4,4,5,3,2,2,3,2,4,4,4,4,4,4,3,4,4,3,3,3,4,4,3,2,2,2,2,2,3,4,4,4,3,3,4,4,3,3,4,3,2,4,3,5,3,4,5,4,4,4,4,4,3,4,5,4,3,1,22,16,15,13,14,17,High,High,Neither high nor low,High,Very High,17,A
2,5,5,3,3,5,5,2,5,2,2,4,4,4,2,2,2,2,2,5,2,5,1,5,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,5,5,4,1,5,5,5,5,4,5,5,5,4,1,5,5,5,5,1,5,1,21,20,18,20,7,20,Extremely High,Very High,Extremely High,Very Low,Extremely High,20,O
4,3,3,4,2,5,4,3,2,4,4,5,5,5,2,1,1,5,1,5,5,4,4,4,1,1,5,5,1,1,1,5,3,1,1,1,1,1,1,3,4,5,5,3,4,3,5,4,4,3,3,5,4,3,4,4,4,4,2,4,4,5,4,4,4,3,5,5,1,21,17,14,13,19,15,Very High,High,Neither high nor low,Extremely High,High,19,N
4,5,4,1,2,2,3,1,2,2,4,4,4,3,1,1,1,5,2,4,3,4,1,4,3,2,1,1,1,1,1,4,4,2,1,3,2,1,2,4,5,1,2,1,1,2,1,1,4,5,5,3,2,4,2,5,2,3,2,4,4,2,2,1,4,4,3,3,1,21,10,18,11,10,15,Low,Very High,Neither high nor low,Low,High,18,C
5,5,5,5,4,5,3,1,2,1,4,5,5,4,1,4,1,5,1,4,5,5,5,3,5,4,5,5,4,4,4,2,1,1,1,1,3,2,1,4,4,4,4,4,4,1,2,1,3,4,3,2,4,2,5,5,4,4,4,3,5,4,3,1,5,5,4,4,1,21,15,18,10,14,17,High,Very High,Low,High,Very High,18,C
4,3,4,4,4,4,3,2,4,2,4,4,5,5,4,4,4,2,4,5,4,2,4,5,3,4,4,5,4,4,3,5,5,3,2,4,2,4,1,3,4,4,4,4,4,5,4,2,4,4,4,5,4,4,5,4,3,4,5,4,2,3,5,3,5,3,5,5,1,21,18,13,16,16,18,Very High,Neither high nor low,High,High,Very High,18,O
3,3,3,2,5,4,3,3,4,3,3,4,4,4,3,4,4,4,3,3,3,3,2,3,3,3,3,4,4,3,3,3,4,3,3,4,5,4,4,3,3,3,4,3,3,3,3,3,4,4,4,4,3,2,4,4,3,2,5,4,4,4,3,2,5,5,4,4,0,22,12,17,13,15,17,Neither high nor low,Very High,Neither high nor low,High,Very High,17,C
5,5,4,5,3,5,4,3,3,5,3,5,5,5,2,3,1,5,3,5,5,4,5,4,3,4,5,5,3,3,3,4,3,2,2,2,2,3,3,3,4,5,5,3,3,4,5,4,5,5,3,5,4,5,5,2,4,5,5,4,4,5,4,5,5,1,3,5,1,21,18,10,20,17,19,Very High,Low,Extremely High,Very High,Extremely High,20,E
4,5,3,1,3,4,2,3,2,2,3,4,5,4,1,2,2,4,3,5,5,5,4,5,3,3,4,4,3,3,4,4,3,2,2,2,1,2,2,4,5,4,4,4,3,3,4,2,3,5,4,4,4,1,5,5,4,4,3,4,3,2,4,2,5,3,4,5,1,21,17,15,9,14,19,Very High,High,Low,High,Extremely High,19,A
3,4,5,2,3,3,2,2,2,2,4,3,4,3,2,2,1,3,3,3,4,3,3,2,2,2,4,4,3,2,1,2,4,1,1,1,2,2,1,1,3,4,4,3,1,4,5,2,2,4,3,5,3,2,4,3,4,3,2,4,4,3,3,1,5,2,5,4,1,21,13,12,7,17,17,Neither high nor low,Neither high nor low,Very Low,Very High,Very High,17,N
5,5,5,4,4,5,5,3,4,3,1,4,4,4,3,4,3,4,4,4,4,5,5,3,2,2,5,5,4,3,3,4,3,1,1,1,3,3,1,4,5,5,5,3,4,1,4,1,3,5,3,4,4,2,5,4,2,5,3,5,4,2,3,3,5,1,3,4,1,21,16,12,11,11,20,High,Neither high nor low,Neither high nor low,Neither high nor low,Extremely High,20,A
5,5,4,4,3,4,4,2,3,5,1,4,5,5,2,1,1,4,4,5,5,5,4,5,5,1,5,4,3,2,3,4,3,1,1,2,1,1,1,3,4,4,4,3,3,1,5,2,5,5,2,5,5,5,5,5,5,4,5,5,4,5,5,3,5,1,5,5,1,21,19,12,18,20,20,Extremely High,Neither high nor low,Very High,Extremely High,Extremely High,20,N
4,5,5,4,3,3,5,3,2,2,5,1,3,2,1,1,1,5,3,4,5,5,5,4,3,2,5,4,3,3,2,4,3,2,1,4,3,3,2,2,2,4,3,2,4,3,5,2,3,2,4,5,5,4,5,4,4,4,5,4,5,5,4,1,5,2,4,2,1,22,15,15,13,18,16,High,High,Neither high nor low,Very High,High,18,N
4,5,3,1,2,5,2,3,1,2,4,5,5,5,2,4,2,5,3,3,5,5,1,5,3,4,5,5,1,3,2,5,3,3,1,2,3,4,3,4,5,5,5,3,3,1,5,3,4,5,3,5,3,4,5,3,4,4,5,5,4,5,4,4,5,5,4,3,1,21,14,15,17,18,20,High,High,Very High,Very High,Extremely High,20,A
4,4,4,3,4,3,4,2,2,1,2,4,2,5,2,2,1,5,2,2,5,4,4,4,2,2,4,4,2,2,2,2,2,2,1,4,2,2,2,3,2,4,4,2,2,2,4,2,3,4,3,2,4,3,5,3,3,5,3,4,2,3,5,4,5,4,3,3,1,22,17,12,13,11,18,Very High,Neither high nor low,Neither high nor low,Neither high nor low,Very High,18,A
5,5,5,4,3,5,3,2,2,4,4,5,5,5,2,2,4,4,4,5,5,4,5,4,4,3,5,5,3,2,2,5,5,3,3,3,2,2,2,4,4,5,5,3,3,5,5,3,3,5,1,3,4,4,5,1,1,4,4,4,4,5,3,2,5,1,4,4,1,21,15,7,13,13,19,High,Very Low,Neither high nor low,Neither high nor low,Extremely High,19,A
5,5,4,1,2,5,2,1,4,3,2,5,5,5,1,5,2,5,4,4,3,5,1,5,1,1,5,4,3,2,1,5,2,1,5,2,2,1,2,5,5,5,5,4,5,2,5,5,5,1,2,5,5,1,1,3,4,5,1,1,5,4,4,4,1,3,5,4,1,22,18,13,11,18,4,Very High,Neither high nor low,Neither high nor low,Very High,Extremely Low,18,O
1,1,1,1,1,1,1,2,3,4,1,1,1,1,1,5,2,1,1,1,1,4,1,2,3,1,2,4,1,1,1,1,2,1,2,3,4,1,2,1,1,1,2,4,1,2,3,4,4,4,2,1,2,4,5,4,3,3,3,4,5,3,3,4,5,5,3,3,1,21,11,16,15,10,18,Neither high nor low,High,High,Low,Very High,18,A
4,4,5,3,3,4,4,3,4,2,5,5,5,5,3,3,4,4,4,5,5,3,3,3,4,3,4,4,3,3,3,3,5,3,3,3,3,4,3,5,5,5,5,4,4,5,5,5,3,4,4,5,5,2,4,3,3,4,4,5,3,3,4,4,5,3,5,4,0,21,17,13,13,16,18,Very High,Neither high nor low,Neither high nor low,High,Very High,18,A
